Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Muse (CHS),82 Society Street,29401,Charleston,SC,Island Brands,Island Active,32.783577,-79.933594,1,rooftop,82 Society St,"Charleston, SC 29401",82,Society St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnw8shep9xxmy5gjnfa5aby6h7ha
The Clubhouse (CHS),476 Meeting Street,29403,Charleston,SC,Island Brands,Island Active,32.795693,-79.939704,1,rooftop,476 Meeting St,"Charleston, SC 29403",476,Meeting St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnjbtkxpk6sfw962u9pdv7uy5a58
The Establishment (CHS),28 Broad Street,29401,Charleston,SC,Island Brands,Island Active,32.776912,-79.928304,1,rooftop,28 Broad St,"Charleston, SC 29401",28,Broad St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnn2jeyly2jsujb988avw2fhvz6h
Sunset Pizzeria (CHS),2625 North Okatie Highway,29936,Ridgeland,SC,Island Brands,Island Active,32.336349,-80.929029,1,rooftop,2625 N Okatie Hwy,"Ridgeland, SC 29936",2625,N Okatie Hwy,,,Ridgeland,SC,Jasper County,29936,US,Jasper,gcod_usn9xzbeup4uqt83pbxl525u7lh48
Saltwater Cowboys (CHS),130 Mill Street,29464,Mount Pleasant,SC,Island Brands,Island Active,32.791552,-79.881882,1,rooftop,130 Mill St,"Mount Pleasant, SC 29464",130,Mill St,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjsyjpx3chj324d59t6p63d4u9e
Coastal Marina (CHS),50 Immigration Street,29403,Charleston,SC,Island Brands,Island Active,32.802006,-79.931929,1,rooftop,50 Immigration St,"Charleston, SC 29403",50,Immigration St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usndvwj249kpfl2dfawr6faqq5357
The Longboard (CHS),2213 Middle Street,29482,Sullivans Island,SC,Island Brands,Island Active,32.762675,-79.836263,1,rooftop,2213 Middle St,"Sullivans Island, SC 29482",2213,Middle St,,,Sullivans Island,SC,Charleston County,29482,US,Statewide SC,gcod_usnyjfwp23bczmgakdq37echd8nlg
Mac 's Daniel Island (CHS),259 Seven Farms Drive,29492-7553,Daniel Island,SC,Island Brands,Island Active,32.858987,-79.909838,1,rooftop,259 7 Farms Dr,"Charleston, SC 29492",259,7 Farms Dr,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnqr5pfvu9erlv9r73qslvjvuvjh
Brick (CHS),24 Ann Street,29401,Charleston,SC,Island Brands,Island Active,32.7901,-79.937264,0.99,rooftop,24 Ann St,"Charleston, SC 29403",24,Ann St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usny2yqsaeyugm94qfazsuk87pmad
Hotel Indigo (CHS),250 Johnnie Dodds Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Active,32.802938,-79.8967,1,rooftop,250 Johnnie Dodds Blvd,"Mount Pleasant, SC 29464",250,Johnnie Dodds Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjz6pduu3pt2afel43ugjteclld
