Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"Lumber Jills (CHS)","4650 Ladson Road",Summerville,SC,29485,"Island Brands",32.954107,-80.162233,1,rooftop,"4650 Ladson Rd",,"Summerville, SC 29485",4650,"Ladson Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usnmgr77dkcx6b3g2kf7thfuenjme
"The Landing At Pleasant Point (CHS)","8 Barnwell Drive",Beaufort,SC,29907,"Island Brands",32.473276,-80.678977,1,rooftop,"8 Barnwell Dr",,"Beaufort, SC 29907",8,"Barnwell Dr",,,Beaufort,SC,"Beaufort County",29907,US,Beaufort,gcod_usn7wbdpuq5bjae26m5nz9pejtv3c
"Dig In Park Circle (CHS)","1049 East Montague Avenue","North Charleston",SC,29405,"Island Brands",32.881246,-79.975903,1,rooftop,"1049 E Montague Ave",,"North Charleston, SC 29405",1049,"E Montague Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnd57utpkg2zx45ktreqhepkuzkg
"My Fathers Moustache - Mt P (CHS)","1405 Ben Sawyer Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.79236,-79.855803,1,rooftop,"1405 Ben Sawyer Blvd",,"Mount Pleasant, SC 29464",1405,"Ben Sawyer Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4drgl74yfzeshsn99xtn3krqda
"Salty Dog-Bluffton (CHS)","1414 Fording Island Road",Bluffton,SC,29910-8636,"Island Brands",32.240355,-80.817683,1,rooftop,"1414 US-278",,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
"Mix (CHS)","730 Coleman Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.792921,-79.868456,1,rooftop,"730 Coleman Blvd",,"Mount Pleasant, SC 29464",730,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t4x4bcqvuznv9gh
"Neighborhood Tap House - Summerville (CHS)","2465 North Main Street",Summerville,SC,29486,"Island Brands",33.055379,-80.099615,1,rooftop,"2465 N Main St",,"Summerville, SC 29486",2465,"N Main St",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnrp9fr68yydlh9qcwc3b2m7gmte
"Palmetto Flats (CHS)","975 Bacons Bridge Road",Summerville,SC,29485,"Island Brands",32.996248,-80.18425,1,rooftop,"975 Bacons Bridge Rd",,"Summerville, SC 29485",975,"Bacons Bridge Rd",,,Summerville,SC,"Dorchester County",29485,US,"Charleston County GIS",gcod_usnsgtwky75r2bfdmueqhavg6hn86
"Montreux Bar & Grill (CHS)","127 West Richardson",Summerville,SC,29483,"Island Brands",33.019656,-80.176813,1,rooftop,"127 W Richardson Ave",,"Summerville, SC 29483",127,"W Richardson Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usnas695qq4tgmbfqr79qn4rzvu34
"Windjammer (CHS)","1008 Ocean Boulevard","Isle Of Palms",SC,29451,"Island Brands",32.784618,-79.790114,1,rooftop,"1008 Ocean Blvd",,"Isle of Palms, SC 29451",1008,"Ocean Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9wdmyvjg9m486h8qk9tr5857l8
