Retailer,Chain,Chain Store Number,Address,City,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
Refuel #55 (CHS),Refuel,55,1705 Clements Ferry Road,Charleston,Island Active,32.922653,-79.869927,1,rooftop,1705 Clements Ferry Rd,,"Charleston, SC 29492",1705,Clements Ferry Rd,,,Charleston,SC,Berkeley County,29492,US,Statewide SC
Walmart #4384 (CHS),Walmart,4384,3000 Proprietors Place,Mount Pleasant,Island Active,32.861797,-79.788224,1,rooftop,3000 Proprietors Pl,,"Mount Pleasant, SC 29466",3000,Proprietors Pl,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS
Walmart #0632 (CHS),Walmart,632,1481 US Highway 17,Mount Pleasant,Island Active,32.814082,-79.845456,1,rooftop,1481 N Highway 17,,"Mount Pleasant, SC 29464",1481,N Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS
Harris Teeter #87 (CHS),Harris Teeter,87,620 Long Point Road,Mount Pleasant,Island Active,32.839684,-79.857002,1,rooftop,620 Long Point Rd,,"Mount Pleasant, SC 29464",620,Long Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS
Total Wine & More #702-W Ashley (CHS),Total Wine & More,702,1820-A Ashley River Road,Charleston,Island Active,32.803356,-80.017078,1,rooftop,1820 Ashley River Rd,,"Charleston, SC 29407",1820,Ashley River Rd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS
Harris Teeter #131 (CHS),Harris Teeter,131,2035 Highway 41,Mount Pleasant,Island Active,32.897823,-79.821698,1,rooftop,2035 Highway 41,,"Mount Pleasant, SC 29466",2035,Highway 41,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS
Harris Teeter #385 (CHS),Harris Teeter,385,2195 Tea Planter Lane,Mount Pleasant,Island Active,32.83941,-79.816624,1,rooftop,2195 Tea Planter Ln,,"Mount Pleasant, SC 29466",2195,Tea Planter Ln,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS
Harris Teeter #368 (CHS),Harris Teeter,368,1269 Nexton Parkway,Summerville,Island Active,33.058914,-80.150875,1,rooftop,1269 Nexton Pkwy,,"Summerville, SC 29486",1269,Nexton Pkwy,,,Summerville,SC,Berkeley County,29486,US,Statewide SC
Charlies Grocery-Spring St (CHS),Independent,17380,119 Spring Street,Charleston,Island Active,32.789941,-79.947564,1,rooftop,119 Spring St,,"Charleston, SC 29403",119,Spring St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS
Harris Teeter #363 (CHS),Harris Teeter,363,9500 Dorchester Road,Summerville,Island Active,32.936631,-80.141339,1,rooftop,9500 Dorchester Rd,,"Summerville, SC 29485",9500,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC
Total Wine & More #705-Mt P (CHS),Total Wine & More,705,1501 North Highway 17,Mount Pleasant,Island Active,32.816014,-79.842754,1,rooftop,1501 N Highway 17,,"Mount Pleasant, SC 29464",1501,N Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Statewide SC
Harris Teeter #457 (CHS),Harris Teeter,457,1220 Ben Sawyer Boulevard,Mount Pleasant,Island Active,32.795429,-79.859914,1,rooftop,1220 Ben Sawyer Blvd,,"Mount Pleasant, SC 29464",1220,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS
Harris Teeter #406 (CHS),Harris Teeter,406,3865 West Ashley Circle,Charleston,Island Active,32.82611,-80.085134,1,rooftop,3865 W Ashley Cir,,"Charleston, SC 29414",3865,W Ashley Cir,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS
Walmart #3367 (CHS),Walmart,3367,4920 Centre Pointe Drive,North Charleston,Island Active,32.877594,-80.017694,0.9,rooftop,4920 Centre Pointe Dr,,"North Charleston, SC 29418",4920,Centre Pointe Dr,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS
Walmart Market #3713 (CHS),Walmart,3713,3685 Ladson Road,Ladson,Island Active,32.978899,-80.128284,1,rooftop,3685 Ladson Rd,,"Ladson, SC 29456",3685,Ladson Rd,,,Ladson,SC,Charleston County,29456,US,Charleston County GIS
Bert's Supermarket (CHS),Independent,60355,202 East Ashley Boulevard,Folly Beach,Island Active,32.65662,-79.938498,1,rooftop,202 E Ashley Ave,,"Folly Beach, SC 29439",202,E Ashley Ave,,,Folly Beach,SC,Charleston County,29439,US,Statewide SC
Spar Reid Market (CHS),Independent,29563,51 Reid Street,Charleston,Island Chill Lemon Lime,32.793105,-79.936467,1,rooftop,51 Reid St,,"Charleston, SC 29403",51,Reid St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS
I Heart CBD - Park Circle (CHS),Independent,29677,1083 East Montague Avenue,North Charleston,Island Chill Lemon Lime,32.881247,-79.977463,0.98,rooftop,1083 E Montague Ave,,"North Charleston, SC 29405",1083,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS
Spinx #0355 (CHS),Spinx,355,2160 North Main Street,Summerville,Island Chill Pineapple Coconut,33.047022,-80.109492,1,rooftop,2160 N Main St,,"Summerville, SC 29486",2160,N Main St,,,Summerville,SC,Berkeley County,29486,US,Statewide SC
Spinx #371 (CHS),Spinx,371,1130 Holliday Farms Boulevard,Mount Pleasant,Island Chill Pineapple Coconut,32.842704,-79.815348,1,rooftop,1130 Holliday Farms Blvd,,"Mount Pleasant, SC 29466",1130,Holliday Farms Blvd,,,Mount Pleasant,SC,Charleston County,29466,US,Statewide SC
Spinx #0364 (CHS),Spinx,364,845 Jedburg Road,Summerville,Island Chill Pineapple Coconut,33.084188,-80.205706,1,rooftop,845 Jedburg Rd,,"Summerville, SC 29486",845,Jedburg Rd,,,Summerville,SC,Berkeley County,29486,US,Statewide SC
Spinx #0317 (CHS),Spinx,317,1558 South Live Oak Drive,Moncks Corner,Island Chill Pineapple Coconut,33.153231,-80.05873,1,rooftop,1558 S Live Oak Dr,,"Moncks Corner, SC 29461",1558,S Live Oak Dr,,,Moncks Corner,SC,Berkeley County,29461,US,Statewide SC
Spinx #370 (CHS),Spinx,370,3285 Timberline Dr,Johns Island,Island Chill Pineapple Coconut,32.732826,-80.058195,1,rooftop,3285 Timberline Dr,,"Johns Island, SC 29455",3285,Timberline Dr,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS
Spinx #0356 (CHS),Spinx,356,9636 Highway 78,Ladson,Island Chill Pineapple Coconut,32.98994,-80.099995,1,rooftop,9636 Highway 78,,"Ladson, SC 29456",9636,Highway 78,,,Ladson,SC,Berkeley County,29456,US,Statewide SC
Spinx #0341 (CHS),Spinx,341,2627 Highway 41,Charleston,Island Chill Pineapple Coconut,32.931077,-79.819805,1,rooftop,2627 Highway 41,,"Charleston, SC 29492",2627,Highway 41,,,Charleston,SC,Berkeley County,29492,US,Statewide SC
Spinx #0352 (CHS),Spinx,352,4895 Ashley Phosphate Road,North Charleston,Island Chill Strawberry Mango,32.918506,-80.101197,0.9,rooftop,4895 Ashley Phosphate Rd,,"North Charleston, SC 29418",4895,Ashley Phosphate Rd,,,North Charleston,SC,Dorchester County,29418,US,Statewide SC
Spinx #0366 (CHS),Spinx,366,10696 Dorchester Road,Summerville,Island Chill Strawberry Mango,32.97067,-80.208764,1,rooftop,10696 Dorchester Rd,,"Summerville, SC 29485",10696,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Dorchester
Spinx #0350 (CHS),Spinx,350,6899 Rivers Avenue,North Charleston,Island Chill Strawberry Mango,32.920104,-80.030728,1,rooftop,6899 Rivers Ave,,"North Charleston, SC 29406",6899,Rivers Ave,,,North Charleston,SC,Charleston County,29406,US,Charleston County GIS
Lowe's Foods #270 (CHS),Lowes Foods,270,10048 Dorchester Road,Summerville,Island Chill Strawberry Mango,32.953902,-80.164391,1,rooftop,10048 Dorchester Rd,,"Summerville, SC 29485",10048,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC
Lowe's Foods #278 (CHS),Lowes Foods,278,3125 Bees Ferry Road,Charleston,Island Chill Strawberry Mango,32.842361,-80.059423,1,rooftop,3125 Bees Ferry Rd,,"Charleston, SC 29414",3125,Bees Ferry Rd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS
Lowe's Foods #279 (CHS),Lowes Foods,279,1000 Tanner Ford Boulevard,Hanahan,Island Chill Strawberry Mango,32.93412,-79.999535,1,rooftop,1000 Tanner Ford Blvd,,"Hanahan, SC 29410",1000,Tanner Ford Blvd,,,Hanahan,SC,Berkeley County,29410,US,Statewide SC
Lowe's Foods #293 (CHS),Lowes Foods,293,3575 Maybank Highway,Johns Island,Island Chill Strawberry Mango,32.720764,-80.080736,1,rooftop,3575 Maybank Hwy,,"Johns Island, SC 29455",3575,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS
Jadoon's Market (CHS),Independent,12100,5137 North Rhett Avenue,North Charleston,Island Chill Strawberry Mango,32.89165,-79.985853,0.98,rooftop,5137 N Rhett Ave,,"North Charleston, SC 29405",5137,N Rhett Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS
Refuel #18 (CHS),Refuel,18,860 Island Park Drive,Charleston,Island Chill Strawberry Mango,32.864346,-79.904589,1,rooftop,860 Island Park Dr,,"Daniel Island, SC 29492",860,Island Park Dr,,,Daniel Island,SC,Berkeley County,29492,US,Charleston County GIS
Spinx #0353 (CHS),Spinx,353,1310 Orangeburg Road,Summerville,Island Chill Strawberry Mango,33.041257,-80.248144,1,rooftop,1310 Orangeburg Rd,,"Summerville, SC 29483",1310,Orangeburg Rd,,,Summerville,SC,Dorchester County,29483,US,Statewide SC
