"Visit Date",Team,"Dist. Rep.","Business Name","Visit Notes",Orders,"Image 1","Image 2","Image 3","Image 4"
"05/21/26 19:08:46ET",Mayer,Zimmer,"Blind Tiger Pub (CHS)","Spoke with Clayton, pulled island off for a moment and then put it back on. It is going to pick up half of Berry stomp. ",1,,,,
"05/21/26 21:43:21ET",Gallo,Coburn,"Catch23 (CHS)","Met with Jess, going to add island draft upstairs  and active cans and another Rusty Bull for a cup program. Details to come ",0,,,,
"05/21/26 21:19:11ET",Kelley,,"Celeste (CHS)","I came here upon request to meet Ron Grant who is the GM. They want to start bringing in some craft beers from local breweries. It’s more of a wine and fancy cocktail spot but they want to switch things up a little bit. They do not have draft. Only can options. I left him a sample of all the different beers. I have in hopes that he can find multiples that they like. Also, I’m hoping the owner who owns 3 or 4 other restaurants will bring some in at those locations as well.",0,,,,
"05/21/26 20:45:14ET",Gallo,Coburn,"Coconut Joes - Folly (CHS)","Talked to Hunter- ordering 2 kegs of ICL, going to do more events over the sunmer",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f52ba186d8.jpg,,,
"05/21/26 18:51:19ET",Kelley,Holyoak,"Convention Center HHI Resort (CHS)","Spoke with Mac about getting in some ICL. He is going to hopefully burn through what he has left of what he’s replacing this weekend and I’ll follow up with him next Monday about bringing in ICL",0,,,,
"05/21/26 18:01:07ET",Gallo,Scruggs,"Harris Teeter #277 (CHS)","Very low on 4/6. Lost space in local section. 
No 2/12 or Active. Dropped sell sheet in office. ",3,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f2c429a30a.jpg,,,
"05/21/26 19:02:39ET",Gallo,May,"Harris Teeter #28 (CHS)","See brand notes ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f3aae9e0d7.jpg,,,
"05/21/26 18:28:36ET",Gallo,May,"Harris Teeter #456 (CHS)","See notes ",2,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f32b43a93f.jpg,,,
"05/21/26 19:23:39ET",Mayer,May,"Harris Teeter #456 (CHS)","Looks like Mike just came by here",0,,,,
"05/21/26 18:32:59ET",Kelley,Holyoak,"Jamaica Joez HHI Resort (CHS)","Trying to get up with Mac to get some other beers on. Yankee is on draft and the best seller the bartender says.",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f33bb24f78.jpg,,,
"05/21/26 19:25:09ET",Kelley,Livingston,"Marriott - HHI Surfwatch (CHS)","Yankee on draft here. Trying to get ICL in cans. 5 lines here. Only 1 available for rotating and Yankee is on it. Case Spencer is GM I spoke with. Elissa or Kasey does ordering. I left my card and info on ICL.",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f3ff130e05.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f3ff372e17.jpg,,
"05/21/26 20:08:56ET",Kelley,Livingston,"Marriott- HHI Barony (CHS)","I didn’t realize that the food and Bev manager was Lauren who is one of my friends. They have beach bully and ICL on draft. They just picked up ICL a couple months ago so we are curious to see how it does this summer. I dropped off some POS for ISLAND brand and put beach. Bully stickers on the Southern Barrel tap handle as well. I left them samples of DN and JJ to try.",0,,,,
"05/21/26 19:21:29ET",Mayer,Livingston,"Odyssey Bottle Shop (CHS)","Isy wasn’t in meet to come back later",0,,,,
"05/21/26 19:22:18ET",Gallo,May,"Walmart #2348 (CHS)","See notes ",2,,,,
"05/21/26 19:22:52ET",Gallo,May,"Walmart #2348 (CHS)","Pic attached ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/6a0f3f6c44753.jpg,,,
