"Visit Date",Team,"Dist. Rep.","Business Name","Visit Notes",Orders,"Image 1","Image 2","Image 3","Image 4"
"03/08/26 00:45:48ET",Hamilton,Scruggs,"Harris Teeter #365 (CHS)","OOS of Rusty Bull Juice Juice and Dance Naked. Great stock of Island and SB Damn Yankee. 11 packs SB Damn Yankee (2.75 cases).  11 packs  ICL 2/12 (5.5 cases). 8 packs ICL 4/6 (2 cases). Island Display looks good, but will be running low soon.",2,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69adfc19e0fc5.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69adfc1ae3c0b.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69adfc1b9540f.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69adfc1c35870.jpg
"03/08/26 00:58:58ET",Hamilton,Rutledge,"Spinx #371 (CHS)","Still no ICL on the shelf, but I see there was an order placed 18 days ago. Good stock of both chill flavors (pineapple coconut and strawberry mango)",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69adff320529a.jpg,,,
"03/06/26 20:11:37ET",Truby,Menard,"Boathouse IOP (CHS)","Great chat with Jordan, she does all the beer ordering. Pitched iCL and active hard , will text rep to follow up",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69ab18d942ece.jpg,,,
"03/06/26 20:07:49ET",Underthun,,"BUOYS WATEREFRONT BAR AND GRILL ","Spoke with the buyer, Jeff. Unfortunately he is not looking to bring on a new distributor at this time. Discussed how the account right down the street, Oyster Shucker has success with them.",0,,,,
"03/06/26 00:31:28ET",Kelley,Rohal,"Daddy O's Beer And Wine (CHS)","Just finished up my tasting here. It went really well. Good turnout and people really enjoyed the beer. They will most likely be picking up DN. & JJ. 6pks to sell there now as well. Ali was extremely satisfied with the turnout and beers from Rusty Bull and ISLAND brand as well",0,,,,
"03/06/26 22:00:50ET",Gallo,Scruggs,"Harris Teeter #365 (CHS)","Great stock of ICL warm and cold ",0,,,,
"03/06/26 22:55:08ET",Gallo,Scruggs,"Harris Teeter #410 (CHS)","Good stock on ICL - Need JJ and 4/6 - see pics ",2,,,,
"03/06/26 17:03:05ET",Truby,Mathias,"Harris Teeter #452 (CHS)","Good stock of ICL and RB, need an order of damn Yankee only one 6 pack left ",1,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69aaeca70134b.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69aaeca7c875c.jpg,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69aaeca884c1b.jpg,
"03/06/26 20:59:10ET",Truby,Jackson,"Hometeam BBQ - Sullivans (CHS)","Super busy but mentioned ICL cans to Joe again , not able to sit down and chat with him ",0,,,,
"03/06/26 18:10:54ET",Truby,Jackson,"Lawrence Seafood - IOP (CHS)","Bar manager not in but left my card, no berry stomp so want to talk with him about new 12 oz cans of JJ and DN. ICL and active still in need POS to push it ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69aafc8dd4e46.jpg,,,
"03/06/26 20:09:31ET",Underthun,Fries,"Oyster Shucker Craft & Draft","The buyer Jim is constantly rotating tap lines. 

Sampled Active lager with him. He was a fan! Once a space is available he will bring it in.",1,,,,
"03/06/26 21:53:30ET",Gallo,Scruggs,"Publix #1599 (CHS)","Great stock on Both Damn Yankee and ICL ",0,,,,
"03/06/26 17:48:03ET",Truby,Berardelli,"Refuge - IOP (CHS)","Spoke with Emily, still going to tell Jason to get some more of are beer after the whole keg situation last time. Jason back next week ",0,https://bogmayer.bevtrack.net/assets/bogmayer/img/meetingImg/69aaf732b2b1b.jpg,,,
